Week,ออมเงิน: (Thailand),ลงทุน: (Thailand)
2019-02-17,4,13
2019-02-24,4,12
2019-03-03,4,14
2019-03-10,3,13
2019-03-17,3,13
2019-03-24,3,12
2019-03-31,3,13
2019-04-07,3,11
2019-04-14,4,12
2019-04-21,4,14
2019-04-28,4,13
2019-05-05,3,13
2019-05-12,3,13
2019-05-19,4,13
2019-05-26,4,13
2019-06-02,4,13
2019-06-09,4,14
2019-06-16,4,13
2019-06-23,4,15
2019-06-30,4,13
2019-07-07,4,14
2019-07-14,3,12
2019-07-21,3,13
2019-07-28,4,13
2019-08-04,4,12
2019-08-11,3,14
2019-08-18,4,14
2019-08-25,4,14
2019-09-01,4,14
2019-09-08,4,14
2019-09-15,5,13
2019-09-22,3,12
2019-09-29,4,11
2019-10-06,4,12
2019-10-13,4,12
2019-10-20,6,12
2019-10-27,8,13
2019-11-03,5,13
2019-11-10,4,14
2019-11-17,4,15
2019-11-24,4,12
2019-12-01,3,11
2019-12-08,3,10
2019-12-15,4,11
2019-12-22,4,12
2019-12-29,5,10
2020-01-05,6,15
2020-01-12,4,13
2020-01-19,4,13
2020-01-26,4,13
2020-02-02,4,14
2020-02-09,4,12
2020-02-16,4,14
2020-02-23,4,13
2020-03-01,3,11
2020-03-08,3,14
2020-03-15,3,13
2020-03-22,3,11
2020-03-29,3,12
2020-04-05,4,12
2020-04-12,5,14
2020-04-19,4,16
2020-04-26,4,12
2020-05-03,4,13
2020-05-10,4,15
2020-05-17,4,14
2020-05-24,5,14
2020-05-31,4,14
2020-06-07,4,15
2020-06-14,4,13
2020-06-21,5,13
2020-06-28,4,13
2020-07-05,4,12
2020-07-12,4,13
2020-07-19,4,14
2020-07-26,4,13
2020-08-02,5,15
2020-08-09,3,13
2020-08-16,4,13
2020-08-23,4,15
2020-08-30,4,12
2020-09-06,4,14
2020-09-13,4,13
2020-09-20,4,14
2020-09-27,4,13
2020-10-04,4,14
2020-10-11,3,12
2020-10-18,3,13
2020-10-25,4,13
2020-11-01,4,13
2020-11-08,4,14
2020-11-15,3,13
2020-11-22,4,14
2020-11-29,4,14
2020-12-06,4,14
2020-12-13,4,13
2020-12-20,7,14
2020-12-27,9,13
2021-01-03,11,18
2021-01-10,7,19
2021-01-17,7,20
2021-01-24,6,21
2021-01-31,5,17
2021-02-07,5,18
2021-02-14,5,18
2021-02-21,5,18
2021-02-28,5,17
2021-03-07,5,16
2021-03-14,4,16
2021-03-21,5,16
2021-03-28,4,14
2021-04-04,4,13
2021-04-11,3,13
2021-04-18,5,16
2021-04-25,5,15
2021-05-02,5,17
2021-05-09,4,18
2021-05-16,4,16
2021-05-23,4,16
2021-05-30,5,14
2021-06-06,4,15
2021-06-13,4,14
2021-06-20,5,13
2021-06-27,5,13
2021-07-04,5,12
2021-07-11,4,12
2021-07-18,5,12
2021-07-25,5,12
2021-08-01,4,12
2021-08-08,5,13
2021-08-15,5,13
2021-08-22,5,15
2021-08-29,5,16
2021-09-05,5,15
2021-09-12,6,16
2021-09-19,6,18
2021-09-26,6,17
2021-10-03,5,17
2021-10-10,6,15
2021-10-17,5,14
2021-10-24,5,14
2021-10-31,5,16
2021-11-07,5,18
2021-11-14,6,16
2021-11-21,5,17
2021-11-28,5,17
2021-12-05,5,14
2021-12-12,5,14
2021-12-19,5,15
2021-12-26,5,14
2022-01-02,7,20
2022-01-09,6,21
2022-01-16,6,19
2022-01-23,6,20
2022-01-30,5,17
2022-02-06,5,18
2022-02-13,5,19
2022-02-20,5,22
2022-02-27,5,21
2022-03-06,5,20
2022-03-13,4,17
2022-03-20,4,16
2022-03-27,4,16
2022-04-03,3,15
2022-04-10,3,12
2022-04-17,4,17
2022-04-24,4,17
2022-05-01,4,14
2022-05-08,4,15
2022-05-15,4,15
2022-05-22,4,15
2022-05-29,4,14
2022-06-05,4,15
2022-06-12,4,15
2022-06-19,5,15
2022-06-26,5,12
2022-07-03,4,13
2022-07-10,3,11
2022-07-17,4,14
2022-07-24,4,13
2022-07-31,4,14
2022-08-07,4,13
2022-08-14,4,15
2022-08-21,4,16
2022-08-28,4,13
2022-09-04,4,14
2022-09-11,4,14
2022-09-18,4,14
2022-09-25,4,13
2022-10-02,3,12
2022-10-09,3,12
2022-10-16,3,12
2022-10-23,4,13
2022-10-30,5,15
2022-11-06,5,16
2022-11-13,4,15
2022-11-20,4,14
2022-11-27,4,14
2022-12-04,4,12
2022-12-11,4,13
2022-12-18,5,13
2022-12-25,4,12
2023-01-01,6,15
2023-01-08,6,16
2023-01-15,4,14
2023-01-22,5,15
2023-01-29,5,14
2023-02-05,4,15
2023-02-12,4,14
2023-02-19,4,15
2023-02-26,4,14
2023-03-05,3,12
2023-03-12,3,13
2023-03-19,3,13
2023-03-26,3,12
